id,scene,lum,white,black,flags,secs,traits
78,lattice,0.044406794662309367,0.0,0.5059479166666667,,28,"{""Token"": ""#78 of 100"", ""Family"": ""Lattice"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ice"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
79,sombrero,0.13328675789760347,0.012086805555555555,0.32447743055555556,,15,"{""Token"": ""#79 of 100"", ""Family"": ""Sombrero"", ""Temperament"": ""patient"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""sunset"", ""Channel"": ""density"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
80,whirlpool,0.08990698529411764,0.0,0.34565972222222224,,67,"{""Token"": ""#80 of 100"", ""Family"": ""Whirlpool"", ""Temperament"": ""contemplative"", ""Signature"": ""chase"", ""Variant"": ""\u2014"", ""Palette"": ""aurora"", ""Channel"": ""density"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""on""}"
81,bullet-cluster,0.11455514705882353,0.0018767361111111111,0.30314409722222224,,21,"{""Token"": ""#81 of 100"", ""Family"": ""Bullet Cluster"", ""Temperament"": ""restless"", ""Signature"": ""chase"", ""Variant"": ""\u2014"", ""Palette"": ""nebula"", ""Channel"": ""kind"", ""Exposure"": ""short"", ""Spin"": ""prograde"", ""Doppler"": ""off""}"
82,milky-way,0.17788729575163398,0.0002309027777777778,0.13744791666666667,,17,"{""Token"": ""#82 of 100"", ""Family"": ""Milky Way"", ""Temperament"": ""patient"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""nebula"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
83,cartwheel,0.3738486519607843,0.068125,0.043869791666666665,,36,"{""Token"": ""#83 of 100"", ""Family"": ""Cartwheel"", ""Temperament"": ""patient"", ""Signature"": ""chase"", ""Variant"": ""\u2014"", ""Palette"": ""nebula"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
84,milky-way,0.16187433959694988,0.00034895833333333334,0.17169270833333333,,14,"{""Token"": ""#84 of 100"", ""Family"": ""Milky Way"", ""Temperament"": ""patient"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
85,quiet-drift,0.5587630514705882,0.009215277777777777,0.0,,16,"{""Token"": ""#85 of 100"", ""Family"": ""Quiet Drift"", ""Temperament"": ""restless"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ice"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
86,dust-storm,0.08772149373638344,0.002638888888888889,0.43116145833333336,,16,"{""Token"": ""#86 of 100"", ""Family"": ""Dust Storm"", ""Temperament"": ""patient"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ice"", ""Channel"": ""density"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
87,milky-way,0.15662986791939,0.0015833333333333333,0.16798958333333333,,12,"{""Token"": ""#87 of 100"", ""Family"": ""Milky Way"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""prograde"", ""Doppler"": ""off""}"
